0102A,1
0107,4
0108,1
0122F,1
01A1,2
01A1G,1
01ADF2,1
01B,102
01BC,10
01C,4
01F2,1
01F2G,1
01_AE,696
0206,5
0209,4
0213,1
0222,6
0225,1
02A,1
02A1,11
02A1U,1
02AG,1
02B,6
02BD,1
02BG,1
02C,1
02D,5
02F2G,1
02G,3
02GK,1
02O,1
02U,1
02_AG,93
03_AB,3
04_cpx,5
05_DF,3
06A1,1
06_cpx,10
0708,3
07B,1
07_BC,43
08_BC,35
09_cpx,5
10_CD,3
11_cpx,11
12_BF,5
13_cpx,6
14_BG,13
15_01B,5
16_A2D,2
17_BF,7
1819,1
18_cpx,4
19_cpx,3
20_BG,3
21_A2D,3
22A1U,1
22DU,1
22_01A1,13
23_BG,2
24_BG,5
25_cpx,5
26C,3
26CU,1
26_AU,4
27_cpx,3
28_BF,5
29_BF,6
31_BC,3
32_06A1,2
33_01B,7
34_01B,3
35_AD,23
36_cpx,2
37_cpx,3
38_BF,1
38_BF1,4
39_BF,3
40_BF,4
42_BF,17
43_02G,4
44_BF,2
45_cpx,5
46_BF,8
47_BF,4
48_01B,3
49_cpx,3
50_A1D,5
51_01B,2
52_01B,3
53_01B,4
54_01B,3
55_01B,3
56_cpx,4
57_BC,5
58_01B,6
59_01B,3
60_BC,3
61_BC,4
62_BC,3
63_02A1,8
64_BC,6
65_cpx,4
72_BF1,4
A1,197
A1A2CD,2
A1A2D,3
A1B,5
A1BD,1
A1C,29
A1CD,5
A1CDGKU,1
A1CG,2
A1D,44
A1DG,1
A1DHK,1
A1DK,2
A1F2,1
A1G,6
A1GHU,1
A1GJ,1
A1H,1
A1U,4
A2,3
A2C,2
A2CD,1
A2G,1
AC,2
ACD,1
AD,1
AF2,1
AF2G,1
AGKU,2
AGU,1
AHJU,2
AKU,1
B,1975
BC,70
BCF1,1
BCU,1
BF,34
BF1,59
BF1G,1
BG,8
C,638
CD,9
CU,2
D,76
DF1G,1
DG,2
DO,1
F1,28
F2,6
F2KU,1
G,45
GKU,2
H,4
J,3
K,2
N,11
O,31
P,4
U,12
